Location,Name,Position,Place
Suffolk ,Helivi L. Holland,,General District Court
Suffolk ,,,General District Court
Surry ,Bruce A. Clark Jr.,"Presiding Judge, Chief Judge",General District Court
Surry ,Elbert D. Mumphery,Presiding Judge,General District Court
Surry ,Churchill Ridley Bain,,General District Court
Surry ,Lyndia P. Ramsey,,General District Court
Surry ,Harold Lee Townsend III,,General District Court
Sussex ,Bruce A. Clark Jr.,"Presiding Judge, Chief Judge",General District Court
Sussex ,Churchill Ridley Bain,Presiding Judge,General District Court
Sussex ,Elbert D. Mumphery,,General District Court
Sussex ,Lyndia P. Ramsey,,General District Court
Sussex ,Harold Lee Townsend III,,General District Court
Tazewell ,George Robert Brittain,Chief Judge,General District Court
Tazewell ,Henry A. Barringer,,General District Court
Tazewell ,,,General District Court
Tazewell ,,,General District Court
Tazewell ,,,General District Court
Virginia ,Daniel Roger Lahne,"Presiding Judge, Chief Judge",General District Court
Virginia ,Afshin Farashahi,Presiding Judge,General District Court
Virginia ,Elizabeth S. Foster,Presiding Judge,General District Court
Virginia ,Vivian F. Henderson,Presiding Judge,General District Court
Virginia ,Salvatore R. Iaquinto,Presiding Judge,General District Court
Virginia ,Sandra S. Menago,Presiding Judge,General District Court
Virginia ,Paul David Merullo,Presiding Judge,General District Court
Warren ,W. Dale Houff,Presiding Judge,General District Court
Warren ,John Stanley Hart Jr.,Chief Judge,General District Court
Warren ,Mary Louise Costello Daniel,,General District Court
Warren ,Amy B. Tisinger,,General District Court
Warren ,,,General District Court
Warren ,,,General District Court
Warren ,,,General District Court
Warren ,,,General District Court
Washington ,Travis B. Lee,Presiding Judge,General District Court
Washington ,Eric R. Thiessen,Chief Judge,General District Court
Washington ,Robert L. Hobbs,,General District Court
Washington ,,,General District Court
Waynesboro ,William Harrison Cleaveland,Chief Judge,General District Court
Waynesboro ,Christopher M. Billias,,General District Court
Waynesboro ,Robin J. Mayer,,General District Court
Waynesboro ,Rupen R. Shah,,General District Court
Waynesboro ,,,General District Court
Waynesboro ,,,General District Court
Westmoreland ,John S. Martin,"Presiding Judge, Chief Judge",General District Court
Westmoreland ,David B. Caddell Jr.,,General District Court
Westmoreland ,Hugh S. Campbell,,General District Court
Westmoreland ,Richard T. McGrath,,General District Court
Westmoreland ,Angela M. O'Connor,,General District Court
Westmoreland ,Robert Eric Reibach,,General District Court
Westmoreland ,Jane M. Reynolds,,General District Court
Westmoreland ,,,General District Court
Westmoreland ,,,General District Court
Westmoreland ,,,General District Court
Westmoreland ,,,General District Court
Williamsburg/James City County,Colleen K. Killilea,Presiding Judge,General District Court
Williamsburg/James City County,Stephen Ashton Hudgins,Chief Judge,General District Court
Williamsburg/James City County,Stephanie E. Merritt,,General District Court
Williamsburg/James City County,,,General District Court
Winchester ,John Stanley Hart Jr.,Chief Judge,General District Court
Winchester ,Mary Louise Costello Daniel,,General District Court
Winchester ,W. Dale Houff,,General District Court
Winchester ,Amy B. Tisinger,,General District Court
Winchester ,,,General District Court
Winchester ,,,General District Court
Winchester ,,,General District Court
Winchester ,,,General District Court
Wise ,Shawn L Hines,Chief Judge,General District Court
Wise ,Andrew L. Johnson,,General District Court
Wise ,,,General District Court
Wise ,,,General District Court
Wythe ,J. D. Bolt,Presiding Judge,General District Court
Wythe ,Gino W. Williams,Chief Judge,General District Court
Wythe ,Erin J. DeHart,,General District Court
Wythe ,Randal J. Duncan,,General District Court
Wythe ,Gerald Eugene Mabe II,,General District Court
Wythe ,,,General District Court
York County Poquoson,Stephen Ashton Hudgins,Chief Judge,General District Court
York County Poquoson,Colleen K. Killilea,,General District Court
York County Poquoson,Stephanie E. Merritt,,General District Court
York County Poquoson,,,General District Court
Accomack ,Cela J. Burge,Chief Judge,juvenile domestic court (JDR)
Accomack ,,,juvenile domestic court (JDR)
Accomack ,,,juvenile domestic court (JDR)
Accomack ,,,juvenile domestic court (JDR)
Accomack ,,,juvenile domestic court (JDR)
Accomack ,,,juvenile domestic court (JDR)
Accomack ,,,juvenile domestic court (JDR)
Abemarle,Deborah S. Tinsley,Chief Judge,juvenile domestic court (JDR)
Abemarle,David M Barredo,,juvenile domestic court (JDR)
Abemarle,Gilbert H. Berger,,juvenile domestic court (JDR)
Abemarle,Barbara G. Lowe,,juvenile domestic court (JDR)
Abemarle,Ronald L. Morris,,juvenile domestic court (JDR)
Abemarle,Frank W. Somerville,,juvenile domestic court (JDR)
Alexandria ,Constance H. Frogale,"Presiding Judge, Chief Judge",juvenile domestic court (JDR)
Alexandria ,Thomas Kevin Cullen,"Presiding Judge, Chief Judge",juvenile domestic court (JDR)
Alexandria ,,,juvenile domestic court (JDR)
Alleghany ,Correy R. Smith,Chief Judge,juvenile domestic court (JDR)
Alleghany ,Robert C. Hagan Jr.,,juvenile domestic court (JDR)
Alleghany ,Linda Schorsch Jones,,juvenile domestic court (JDR)
Alleghany ,Susan B. Read,,juvenile domestic court (JDR)
Alleghany ,Paul A. Tucker,,juvenile domestic court (JDR)
Alleghany ,,,juvenile domestic court (JDR)
Amelia,Theresa J. Royall,Presiding Judge,juvenile domestic court (JDR)
Amelia,Phillip T. DiStanislao,Chief Judge,juvenile domestic court (JDR)
Amelia,Cheryl J. Wilson,,juvenile domestic court (JDR)
Amherst ,Jeffrey P. Bennett,Presiding Judge,juvenile domestic court (JDR)
Amherst ,Brooke Taylor Willse Gaddy,Chief Judge,juvenile domestic court (JDR)
Amherst ,Robert Louis Harrison Jr.,,juvenile domestic court (JDR)
Amherst ,Stephanie Mutter-Ayers,,juvenile domestic court (JDR)
Amherst ,H. Cary Payne,,juvenile domestic court (JDR)
Amherst ,Jennifer E. Stille,,juvenile domestic court (JDR)
Appomattox ,Marvin H. Dunkum Jr.,"Presiding Judge, Chief Judge",juvenile domestic court (JDR)
Appomattox ,Nora J. Miller,,juvenile domestic court (JDR)
Appomattox ,Robert H. Morrison,,juvenile domestic court (JDR)
Appomattox ,,,juvenile domestic court (JDR)
Arlington,Robin L. Robb,"Presiding Judge, Chief Judge",juvenile domestic court (JDR)
Arlington,George D. Varoutsos,Presiding Judge,juvenile domestic court (JDR)
Arlington,,,juvenile domestic court (JDR)
Arlington,,,juvenile domestic court (JDR)
Augusta ,Correy R. Smith,Chief Judge,juvenile domestic court (JDR)
Augusta ,Robert C. Hagan Jr.,,juvenile domestic court (JDR)
Augusta ,Linda Schorsch Jones,,juvenile domestic court (JDR)
Augusta ,Susan B. Read,,juvenile domestic court (JDR)
Augusta ,Paul A. Tucker,,juvenile domestic court (JDR)
Augusta ,,,juvenile domestic court (JDR)
Bath ,Correy R. Smith,Chief Judge,juvenile domestic court (JDR)
Bath ,Robert C. Hagan Jr.,,juvenile domestic court (JDR)
Bath ,Linda Schorsch Jones,,juvenile domestic court (JDR)
Bath ,Susan B. Read,,juvenile domestic court (JDR)
Bath ,Paul A. Tucker,,juvenile domestic court (JDR)
Bath ,,,juvenile domestic court (JDR)
Bedford ,Robert Louis Harrison Jr.,Presiding Judge,juvenile domestic court (JDR)
Bedford ,Brooke Taylor Willse Gaddy,Chief Judge,juvenile domestic court (JDR)
Bedford ,Jeffrey P. Bennett,,juvenile domestic court (JDR)
Bedford ,Stephanie Mutter-Ayers,,juvenile domestic court (JDR)
Bedford ,H. Cary Payne,,juvenile domestic court (JDR)
Bedford ,Jennifer E. Stille,,juvenile domestic court (JDR)
Bland ,Stephanie Murray Shortt,Chief Judge,juvenile domestic court (JDR)
Bland ,Howard Lee Chitwood,,juvenile domestic court (JDR)
Bland ,Monica D. Cox,,juvenile domestic court (JDR)
Bland ,Bradley G Dalton,,juvenile domestic court (JDR)
Bland ,Robert C. Viar Jr.,,juvenile domestic court (JDR)
Bland ,,,juvenile domestic court (JDR)
Botetourt,Paul A. Tucker,Presiding Judge,juvenile domestic court (JDR)
Botetourt,Correy R. Smith,Chief Judge,juvenile domestic court (JDR)
Botetourt,Robert C. Hagan Jr.,,juvenile domestic court (JDR)
Botetourt,Linda Schorsch Jones,,juvenile domestic court (JDR)
Botetourt,Susan B. Read,,juvenile domestic court (JDR)
Botetourt,,,juvenile domestic court (JDR)
Bristol ,Joseph B. Lyle,"Presiding Judge, Chief Judge",juvenile domestic court (JDR)
Bristol ,Richard S. Buddington Jr.,,juvenile domestic court (JDR)
Bristol ,Florence A. Powell,,juvenile domestic court (JDR)
Bristol ,,,juvenile domestic court (JDR)
Brunswick ,Christopher B. Ackerman,Presiding Judge,juvenile domestic court (JDR)
Brunswick ,Wallace W. Brittle Jr.,Presiding Judge,juvenile domestic court (JDR)
Brunswick ,Jacqueline R. Waymack,Chief Judge,juvenile domestic court (JDR)
Brunswick ,,,juvenile domestic court (JDR)
Brunswick ,,,juvenile domestic court (JDR)
Buchanan ,Laura F. Robinson,Chief Judge,juvenile domestic court (JDR)
Buchanan ,Michael J. Bush,,juvenile domestic court (JDR)
Buchanan ,Martha P. Ketron,,juvenile domestic court (JDR)
Buchanan ,,,juvenile domestic court (JDR)
Buchanan ,,,juvenile domestic court (JDR)
Buckingham,Marvin H. Dunkum Jr.,"Presiding Judge, Chief Judge",juvenile domestic court (JDR)
Buckingham,Nora J. Miller,,juvenile domestic court (JDR)
Buckingham,Robert H. Morrison,,juvenile domestic court (JDR)
Buckingham,,,juvenile domestic court (JDR)
Buena Vista,Paul A. Tucker,Presiding Judge,juvenile domestic court (JDR)
Buena Vista,Correy R. Smith,Chief Judge,juvenile domestic court (JDR)
Buena Vista,Robert C. Hagan Jr.,,juvenile domestic court (JDR)
Buena Vista,Linda Schorsch Jones,,juvenile domestic court (JDR)
Buena Vista,Susan B. Read,,juvenile domestic court (JDR)
Buena Vista,,,juvenile domestic court (JDR)
Campbell ,Brooke Taylor Willse Gaddy,"Presiding Judge, Chief Judge",juvenile domestic court (JDR)
Campbell ,Jeffrey P. Bennett,,juvenile domestic court (JDR)
Campbell ,Robert Louis Harrison Jr.,,juvenile domestic court (JDR)
Campbell ,Stephanie Mutter-Ayers,,juvenile domestic court (JDR)
Campbell ,H. Cary Payne,,juvenile domestic court (JDR)
Campbell ,Jennifer E. Stille,,juvenile domestic court (JDR)
Caroline ,Frank G Uvanni,Presiding Judge,juvenile domestic court (JDR)
Caroline ,Georgia K. Sutton,Chief Judge,juvenile domestic court (JDR)
Caroline ,John E. Franklin,,juvenile domestic court (JDR)
Caroline ,Shannon O. Hoehl,,juvenile domestic court (JDR)
Caroline ,Julian W. Johnson,,juvenile domestic court (JDR)
Caroline ,Marcel D. Jones,,juvenile domestic court (JDR)
Caroline ,William L. Lewis,,juvenile domestic court (JDR)
Caroline ,Andrea M. Stewart,,juvenile domestic court (JDR)
Caroline ,Joseph A. Vance IV,,juvenile domestic court (JDR)
Caroline ,,,juvenile domestic court (JDR)
Caroline ,,,juvenile domestic court (JDR)
Carroll ,Stephanie Murray Shortt,Chief Judge,juvenile domestic court (JDR)
Carroll ,Howard Lee Chitwood,,juvenile domestic court (JDR)
Carroll ,Monica D. Cox,,juvenile domestic court (JDR)
Carroll ,Bradley G Dalton,,juvenile domestic court (JDR)
Carroll ,Robert C. Viar Jr.,,juvenile domestic court (JDR)
Carroll ,,,juvenile domestic court (JDR)
Charles ,Cressondra B. Conyers,"Presiding Judge, Chief Judge",juvenile domestic court (JDR)
Charles ,Wade A. Bowie,,juvenile domestic court (JDR)
Charles ,Mara M. Matthews,,juvenile domestic court (JDR)
Charles ,Brian J. Smalls,,juvenile domestic court (JDR)
Charlotte ,Nora J. Miller,Presiding Judge,juvenile domestic court (JDR)
Charlotte ,Marvin H. Dunkum Jr.,Chief Judge,juvenile domestic court (JDR)
Charlotte ,Robert H. Morrison,,juvenile domestic court (JDR)
Charlotte ,,,juvenile domestic court (JDR)
Charlottesville,Deborah S. Tinsley,Chief Judge,juvenile domestic court (JDR)
Charlottesville,David M Barredo,,juvenile domestic court (JDR)
Charlottesville,Gilbert H. Berger,,juvenile domestic court (JDR)
Charlottesville,Barbara G. Lowe,,juvenile domestic court (JDR)
Charlottesville,Ronald L. Morris,,juvenile domestic court (JDR)
Charlottesville,Frank W. Somerville,,juvenile domestic court (JDR)
Chesapeake ,David J. Whitted,Chief Judge,juvenile domestic court (JDR)
Chesapeake ,Lori Beth Galbraith,,juvenile domestic court (JDR)
Chesapeake ,Andrew D. Kubovcik,,juvenile domestic court (JDR)
Chesapeake ,Larry D. Willis Sr.,,juvenile domestic court (JDR)
Chesapeake ,,,juvenile domestic court (JDR)
Chesterfield ,Vanessa L Jones,"Presiding Judge, Chief Judge",juvenile domestic court (JDR)
Chesterfield ,Duane Gregory Carr,Presiding Judge,juvenile domestic court (JDR)
Chesterfield ,Scott David Landry,Presiding Judge,juvenile domestic court (JDR)
Chesterfield ,M. Duncan Minton Jr.,Presiding Judge,juvenile domestic court (JDR)
Chesterfield ,J. David Rigler,Presiding Judge,juvenile domestic court (JDR)
Chesterfield ,Travis R. Williams,,juvenile domestic court (JDR)
Clarke ,Daryl L. Funk,Presiding Judge,juvenile domestic court (JDR)
Clarke ,Hugh David O'Donnell,Chief Judge,juvenile domestic court (JDR)
Clarke ,Kimberly Marion Athey,,juvenile domestic court (JDR)
Clarke ,Anthony Wayne Bailey,,juvenile domestic court (JDR)
Clarke ,Elizabeth Kellas Burton,,juvenile domestic court (JDR)
Clarke ,Rachel E. Figura,,juvenile domestic court (JDR)
Clarke ,Chad A. Logan,,juvenile domestic court (JDR)
Clarke ,,,juvenile domestic court (JDR)
Colonial Heights,Vanessa L Jones,"Presiding Judge, Chief Judge",juvenile domestic court (JDR)
Colonial Heights,Duane Gregory Carr,Presiding Judge,juvenile domestic court (JDR)
Colonial Heights,Scott David Landry,Presiding Judge,juvenile domestic court (JDR)
Colonial Heights,Travis R. Williams,Presiding Judge,juvenile domestic court (JDR)
Colonial Heights,M. Duncan Minton Jr.,,juvenile domestic court (JDR)
Colonial Heights,J. David Rigler,,juvenile domestic court (JDR)
Craig ,Paul A. Tucker,Presiding Judge,juvenile domestic court (JDR)
Craig ,Correy R. Smith,Chief Judge,juvenile domestic court (JDR)
Craig ,Robert C. Hagan Jr.,,juvenile domestic court (JDR)
Craig ,Linda Schorsch Jones,,juvenile domestic court (JDR)
Craig ,Susan B. Read,,juvenile domestic court (JDR)
Craig ,,,juvenile domestic court (JDR)
Culpeper ,Gilbert H. Berger,Presiding Judge,juvenile domestic court (JDR)
Culpeper ,Frank W. Somerville,Presiding Judge,juvenile domestic court (JDR)
Culpeper ,Deborah S. Tinsley,Chief Judge,juvenile domestic court (JDR)
Culpeper ,David M Barredo,,juvenile domestic court (JDR)
Culpeper ,Barbara G. Lowe,,juvenile domestic court (JDR)
Culpeper ,Ronald L. Morris,,juvenile domestic court (JDR)
Cumberland ,Marvin H. Dunkum Jr.,"Presiding Judge, Chief Judge",juvenile domestic court (JDR)
Cumberland ,Nora J. Miller,,juvenile domestic court (JDR)
Cumberland ,Robert H. Morrison,,juvenile domestic court (JDR)
Cumberland ,,,juvenile domestic court (JDR)
Danville,Dale M. Wiley,Presiding Judge,juvenile domestic court (JDR)
Danville,Brian H. Turpin,Chief Judge,juvenile domestic court (JDR)
Danville,Deanna Perdue Stone,,juvenile domestic court (JDR)
Danville,,,juvenile domestic court (JDR)
Dickenson ,Laura F. Robinson,Chief Judge,juvenile domestic court (JDR)
Dickenson ,Michael J. Bush,,juvenile domestic court (JDR)
Dickenson ,Martha P. Ketro,,juvenile domestic court (JDR)
Dickenson ,,,juvenile domestic court (JDR)
Dickenson ,,,juvenile domestic court (JDR)
Dinwiddie ,Cheryl J. Wilson,Presiding Judge,juvenile domestic court (JDR)
Dinwiddie ,Phillip T. DiStanislao,Chief Judge,juvenile domestic court (JDR)
Dinwiddie ,Theresa J. Royall,,juvenile domestic court (JDR)
Essex ,William L. Lewis,Presiding Judge,juvenile domestic court (JDR)
Essex ,Georgia K. Sutton,Chief Judge,juvenile domestic court (JDR)
Essex ,John E. Franklin,,juvenile domestic court (JDR)
Essex ,Shannon O. Hoehl,,juvenile domestic court (JDR)
Essex ,Julian W. Johnson,,juvenile domestic court (JDR)
Essex ,Marcel D. Jones,,juvenile domestic court (JDR)
Essex ,Andrea M. Stewart,,juvenile domestic court (JDR)
Essex ,Frank G Uvanni,,juvenile domestic court (JDR)
Essex ,Joseph A. Vance IV,,juvenile domestic court (JDR)
Essex ,,,juvenile domestic court (JDR)
Essex ,,,juvenile domestic court (JDR)
Fairfax ,Thomas P. Sotelo,"Presiding Judge, Chief Judge",juvenile domestic court (JDR)
Fairfax ,Maha-Rebekah Ramos Abejuela,Presiding Judge,juvenile domestic court (JDR)
Fairfax ,Gayl Branum Carr,Presiding Judge,juvenile domestic court (JDR)
Fairfax ,Glenn L. Clayton II,Presiding Judge,juvenile domestic court (JDR)
Fairfax ,Jonathan D. Frieden,Presiding Judge,juvenile domestic court (JDR)
Fairfax ,Todd G. Petit,Presiding Judge,juvenile domestic court (JDR)
Fairfax ,Melissa S. Cardoce,,juvenile domestic court (JDR)
Fairfax ,Melinda L. VanLowe,,juvenile domestic court (JDR)
Fairfax ,,,juvenile domestic court (JDR)
Fairfax ,,,juvenile domestic court (JDR)
Fairfax ,,,juvenile domestic court (JDR)
Fairfax ,,,juvenile domestic court (JDR)
Fairfax ,,,juvenile domestic court (JDR)
Fairfax ,,,juvenile domestic court (JDR)
Fauquier ,Melissa N. Cupp,Presiding Judge,juvenile domestic court (JDR)
Fauquier ,Pamela L. Brooks,Chief Judge,juvenile domestic court (JDR)
Fauquier ,Avelina S. Jacob,,juvenile domestic court (JDR)
Fauquier ,,,juvenile domestic court (JDR)
Fauquier ,,,juvenile domestic court (JDR)
Floyd ,Bradley G Dalton,Presiding Judge,juvenile domestic court (JDR)
Floyd ,Stephanie Murray Shortt,Chief Judge,juvenile domestic court (JDR)
Floyd ,Howard Lee Chitwood,,juvenile domestic court (JDR)
Floyd ,Monica D. Cox,,juvenile domestic court (JDR)
Floyd ,Robert C. Viar Jr.,,juvenile domestic court (JDR)
Floyd ,,,juvenile domestic court (JDR)
Fluvanna ,Deborah S. Tinsley,Chief Judge,juvenile domestic court (JDR)
Fluvanna ,David M Barredo,,juvenile domestic court (JDR)
Fluvanna ,Gilbert H. Berger,,juvenile domestic court (JDR)
Fluvanna ,Barbara G. Lowe,,juvenile domestic court (JDR)
Fluvanna ,Ronald L. Morris,,juvenile domestic court (JDR)
Fluvanna ,Frank W. Somerville,,juvenile domestic court (JDR)
Franklin ,Brian H. Turpin,Chief Judge,juvenile domestic court (JDR)
Franklin ,Deanna Perdue Stone,,juvenile domestic court (JDR)
Franklin ,Dale M. Wiley,,juvenile domestic court (JDR)
Franklin ,,,juvenile domestic court (JDR)
Frederick ,Kimberly Marion Athey,Presiding Judge,juvenile domestic court (JDR)
Frederick ,Elizabeth Kellas Burton,Presiding Judge,juvenile domestic court (JDR)
Frederick ,Hugh David O'Donnell,Chief Judge,juvenile domestic court (JDR)
Frederick ,Anthony Wayne Bailey,,juvenile domestic court (JDR)
Frederick ,Rachel E. Figura,,juvenile domestic court (JDR)
Frederick ,Daryl L. Funk,,juvenile domestic court (JDR)
Frederick ,Chad A. Logan,,juvenile domestic court (JDR)
Frederick ,,,juvenile domestic court (JDR)
Fredericksburg ,Joseph A. Vance IV,Presiding Judge,juvenile domestic court (JDR)
Fredericksburg ,Georgia K. Sutton,Chief Judge,juvenile domestic court (JDR)
Fredericksburg ,John E. Franklin,,juvenile domestic court (JDR)
Fredericksburg ,Shannon O. Hoehl,,juvenile domestic court (JDR)
Fredericksburg ,Julian W. Johnson,,juvenile domestic court (JDR)
Fredericksburg ,Marcel D. Jones,,juvenile domestic court (JDR)
Fredericksburg ,William L. Lewis,,juvenile domestic court (JDR)
Fredericksburg ,Andrea M. Stewart,,juvenile domestic court (JDR)
Fredericksburg ,Frank G Uvanni,,juvenile domestic court (JDR)
Fredericksburg ,,,juvenile domestic court (JDR)
Fredericksburg ,,,juvenile domestic court (JDR)
Giles ,Stephanie Murray Shortt,"Presiding Judge, Chief Judge",juvenile domestic court (JDR)
Giles ,Howard Lee Chitwood,,juvenile domestic court (JDR)
Giles ,Monica D. Cox,,juvenile domestic court (JDR)
Giles ,Bradley G Dalton,,juvenile domestic court (JDR)
Giles ,Robert C. Viar Jr.,,juvenile domestic court (JDR)
Giles ,,,juvenile domestic court (JDR)
Gloucester,Cressondra B. Conyers,"Presiding Judge, Chief Judge",juvenile domestic court (JDR)
Gloucester,Wade A. Bowie,,juvenile domestic court (JDR)
Gloucester,Mara M. Matthews,,juvenile domestic court (JDR)
Gloucester,Brian J. Smalls,,juvenile domestic court (JDR)
Goochland,Deborah S. Tinsley,"Presiding Judge, Chief Judge",juvenile domestic court (JDR)
Goochland,David M Barredo,,juvenile domestic court (JDR)
Goochland,Gilbert H. Berger,,juvenile domestic court (JDR)
Goochland,Barbara G. Lowe,,juvenile domestic court (JDR)
Goochland,Ronald L. Morris,,juvenile domestic court (JDR)
Goochland,Frank W. Somerville,,juvenile domestic court (JDR)
Grayson ,Monica D. Cox,Presiding Judge,juvenile domestic court (JDR)
Grayson ,Stephanie Murray Shortt,Chief Judge,juvenile domestic court (JDR)
Grayson ,Howard Lee Chitwood,,juvenile domestic court (JDR)
Grayson ,Bradley G Dalton,,juvenile domestic court (JDR)
Grayson ,Robert C. Viar Jr.,,juvenile domestic court (JDR)
Grayson ,,,juvenile domestic court (JDR)
Greene ,David M Barredo,Presiding Judge,juvenile domestic court (JDR)
Greene ,Deborah S. Tinsley,Chief Judge,juvenile domestic court (JDR)
Greene ,Gilbert H. Berger,,juvenile domestic court (JDR)
Greene ,Barbara G. Lowe,,juvenile domestic court (JDR)
Greene ,Ronald L. Morris,,juvenile domestic court (JDR)
Greene ,Frank W. Somerville,,juvenile domestic court (JDR)
Greensville ,Jacqueline R. Waymack,Chief Judge,juvenile domestic court (JDR)
Greensville ,Christopher B. Ackerman,,juvenile domestic court (JDR)
Greensville ,Wallace W. Brittle Jr.,,juvenile domestic court (JDR)
Greensville ,,,juvenile domestic court (JDR)
Greensville ,,,juvenile domestic court (JDR)
Halifax ,Nora J. Miller,Presiding Judge,juvenile domestic court (JDR)
Halifax ,Robert H. Morrison,Presiding Judge,juvenile domestic court (JDR)
Halifax ,Marvin H. Dunkum Jr.,Chief Judge,juvenile domestic court (JDR)
Halifax ,,,juvenile domestic court (JDR)
Hampton,Jay Edward Dugger,"Presiding Judge, Chief Judge",juvenile domestic court (JDR)
Hampton,Gregory C. Bane,Presiding Judge,juvenile domestic court (JDR)
Hampton,Robert B. Wilson V,Presiding Judge,juvenile domestic court (JDR)
Hanover ,Shannon O. Hoehl,Presiding Judge,juvenile domestic court (JDR)
Hanover ,Georgia K. Sutton,Chief Judge,juvenile domestic court (JDR)
Hanover ,John E. Franklin,,juvenile domestic court (JDR)
Hanover ,Julian W. Johnson,,juvenile domestic court (JDR)
Hanover ,Marcel D. Jones,,juvenile domestic court (JDR)
Hanover ,William L. Lewis,,juvenile domestic court (JDR)
Hanover ,Andrea M. Stewart,,juvenile domestic court (JDR)
Hanover ,Frank G Uvanni,,juvenile domestic court (JDR)
Hanover ,Joseph A. Vance IV,,juvenile domestic court (JDR)
Hanover ,,,juvenile domestic court (JDR)
Hanover ,,,juvenile domestic court (JDR)
Rockingham ,Hugh David O'Donnell,"Presiding Judge, Chief Judge",juvenile domestic court (JDR)
Rockingham ,Kimberly Marion Athey,,juvenile domestic court (JDR)
Rockingham ,Anthony Wayne Bailey,,juvenile domestic court (JDR)
Rockingham ,Elizabeth Kellas Burton,,juvenile domestic court (JDR)
Rockingham ,Rachel E. Figura,,juvenile domestic court (JDR)
Rockingham ,Daryl L. Funk,,juvenile domestic court (JDR)
Rockingham ,Chad A. Logan,,juvenile domestic court (JDR)
Rockingham ,,,juvenile domestic court (JDR)
Henrico ,Margaret W. Deglau,"Presiding Judge, Chief Judge",juvenile domestic court (JDR)
Henrico ,Linda Lambert Anderson,Presiding Judge,juvenile domestic court (JDR)
Henrico ,Sharon Gregory Jacobs,Presiding Judge,juvenile domestic court (JDR)
Henrico ,Stacy E. Lee,Presiding Judge,juvenile domestic court (JDR)
Henrico ,Stuart L. Williams Jr.,Presiding Judge,juvenile domestic court (JDR)
Henry ,Susan N. Deatherage,"Presiding Judge, Chief Judge",juvenile domestic court (JDR)
Henry ,Kimberly R. Belongia,,juvenile domestic court (JDR)
Henry ,,,juvenile domestic court (JDR)
Highland ,Correy R. Smith,Chief Judge,juvenile domestic court (JDR)
Highland ,Robert C. Hagan Jr.,,juvenile domestic court (JDR)
Highland ,Linda Schorsch Jones,,juvenile domestic court (JDR)
Highland ,Susan B. Read,,juvenile domestic court (JDR)
Highland ,Paul A. Tucker,,juvenile domestic court (JDR)
Highland ,,,juvenile domestic court (JDR)
Hopewell ,Jacqueline R. Waymack,"Presiding Judge, Chief Judge",juvenile domestic court (JDR)
Hopewell ,Christopher B. Ackerman,Presiding Judge,juvenile domestic court (JDR)
Hopewell ,Wallace W. Brittle Jr.,Presiding Judge,juvenile domestic court (JDR)
Hopewell ,,,juvenile domestic court (JDR)
Hopewell ,,,juvenile domestic court (JDR)
Isle of Wight,James E. Wiser,"Presiding Judge, Chief Judge",juvenile domestic court (JDR)
Isle of Wight,Stan D. Clark,,juvenile domestic court (JDR)
Isle of Wight,,,juvenile domestic court (JDR)
Isle of Wight,,,juvenile domestic court (JDR)
James City County/Williamsburg,Cressondra B. Conyers,Chief Judge,juvenile domestic court (JDR)
James City County/Williamsburg,Wade A. Bowie,,juvenile domestic court (JDR)
James City County/Williamsburg,Mara M. Matthews,,juvenile domestic court (JDR)
James City County/Williamsburg,Brian J. Smalls,,juvenile domestic court (JDR)
King George,Joseph A. Vance IV,Presiding Judge,juvenile domestic court (JDR)
King George,Georgia K. Sutton,Chief Judge,juvenile domestic court (JDR)
King George,John E. Franklin,,juvenile domestic court (JDR)
King George,Shannon O. Hoehl,,juvenile domestic court (JDR)
King George,Julian W. Johnson,,juvenile domestic court (JDR)
King George,Marcel D. Jones,,juvenile domestic court (JDR)
King George,William L. Lewis,,juvenile domestic court (JDR)
King George,Andrea M. Stewart,,juvenile domestic court (JDR)
King George,Frank G Uvanni,,juvenile domestic court (JDR)
King George,,,juvenile domestic court (JDR)
King George,,,juvenile domestic court (JDR)
King William,Mara M. Matthews,Presiding Judge,juvenile domestic court (JDR)
King William,Cressondra B. Conyers,Chief Judge,juvenile domestic court (JDR)
King William,Wade A. Bowie,,juvenile domestic court (JDR)
King William,Brian J. Smalls,,juvenile domestic court (JDR)
King and Queen,Mara M. Matthews,Presiding Judge,juvenile domestic court (JDR)
King and Queen,Cressondra B. Conyers,Chief Judge,juvenile domestic court (JDR)
King and Queen,Wade A. Bowie,,juvenile domestic court (JDR)
King and Queen,Brian J. Smalls,,juvenile domestic court (JDR)
Lancaster,William L. Lewis,Presiding Judge,juvenile domestic court (JDR)
Lancaster,Georgia K. Sutton,Chief Judge,juvenile domestic court (JDR)
Lancaster,John E. Franklin,,juvenile domestic court (JDR)
Lancaster,Shannon O. Hoehl,,juvenile domestic court (JDR)
Lancaster,Julian W. Johnson,,juvenile domestic court (JDR)
Lancaster,Marcel D. Jones,,juvenile domestic court (JDR)
Lancaster,Andrea M. Stewart,,juvenile domestic court (JDR)
Lancaster,Frank G Uvanni,,juvenile domestic court (JDR)
Lancaster,Joseph A. Vance IV,,juvenile domestic court (JDR)
Lancaster,,,juvenile domestic court (JDR)
Lancaster,,,juvenile domestic court (JDR)
Lee ,Marcus F. McClung,Chief Judge,juvenile domestic court (JDR)
Lee ,Kimberly M. Jenkins,,juvenile domestic court (JDR)
Lee ,Elizabeth S. Wills,,juvenile domestic court (JDR)
Lee ,,,juvenile domestic court (JDR)
Loudoun ,Pamela L. Brooks,"Presiding Judge, Chief Judge",juvenile domestic court (JDR)
